"","task","description","start","finish","duration","duration_hrs","note","category","date"
"111","phi",NA,2018-08-09 12:24:00,2018-08-09 12:27:00,00:03:22,0.0561937,NA,"phi",2018-08-09
"112","review",NA,2018-08-10 09:31:00,2018-08-10 09:43:00,00:12:23,0.2064939,NA,"psi",2018-08-10
"113","review",NA,2018-08-10 10:47:00,2018-08-10 10:52:00,00:04:58,0.082866,NA,"psi",2018-08-10
"114","review",NA,2018-08-10 11:25:00,2018-08-10 11:30:00,00:04:49,0.080546,NA,"psi",2018-08-10
"115","phi",NA,2018-08-10 11:37:00,2018-08-10 12:09:00,00:31:42,0.5285244,NA,"phi",2018-08-10
"116","phi",NA,2018-08-10 12:21:00,2018-08-10 12:30:00,00:08:34,0.1427817,NA,"phi",2018-08-10
"117","review",NA,2018-08-10 12:30:00,2018-08-10 12:37:00,00:07:08,0.1190307,NA,"psi",2018-08-10
"118","review",NA,2018-08-10 12:41:00,2018-08-10 12:42:00,00:01:37,0.0269718,NA,"psi",2018-08-10
"119","review",NA,2018-08-11 10:43:00,2018-08-11 10:51:00,00:08:06,0.135041,NA,"psi",2018-08-11
"120","review",NA,2018-08-11 11:11:00,2018-08-11 11:15:00,00:03:42,0.0618566,NA,"psi",2018-08-11
"121","psi",NA,2018-08-11 11:15:00,2018-08-11 11:19:00,00:03:57,0.0660512,NA,"psi",2018-08-11
"122","review",NA,2018-08-11 16:17:00,2018-08-11 16:22:00,00:04:40,0.0779979,NA,"psi",2018-08-11
"123","phi",NA,2018-08-11 16:22:00,2018-08-11 16:24:00,00:01:44,0.0290932,NA,"phi",2018-08-11
"124","phi",NA,2018-08-11 16:26:00,2018-08-11 16:51:00,00:24:51,0.4141746,NA,"phi",2018-08-11
"125","theta",NA,2018-08-11 16:52:00,2018-08-11 17:11:00,00:19:11,0.3197526,NA,"theta",2018-08-11
"126","Blog  crafts",NA,2018-08-11 18:17:00,2018-08-11 18:51:00,00:33:17,0.5548322,NA,"wellness",2018-08-11
"127","phi",NA,2018-08-11 19:01:00,2018-08-11 19:04:00,00:03:09,0.0526763,NA,"phi",2018-08-11
"128","review",NA,2018-08-11 19:04:00,2018-08-11 19:06:00,00:02:21,0.0393144,NA,"psi",2018-08-11
"129","review",NA,2018-08-11 19:48:00,2018-08-11 19:51:00,00:02:38,0.0441513,NA,"psi",2018-08-11
"130","psi",NA,2018-08-11 19:51:00,2018-08-11 20:01:00,00:10:37,0.1770776,NA,"psi",2018-08-11
"131","review",NA,2018-08-11 20:01:00,2018-08-11 20:03:00,00:01:21,0.0226652,NA,"psi",2018-08-11
"132","phi",NA,2018-08-11 20:27:00,2018-08-11 20:36:00,00:09:29,0.1582414,NA,"phi",2018-08-11
"133","review",NA,2018-08-12 08:06:00,2018-08-12 08:26:00,00:19:58,0.3330493,NA,"psi",2018-08-12
"134","review",NA,2018-08-12 09:21:00,2018-08-12 09:31:00,00:10:33,0.1759316,NA,"psi",2018-08-12
"135","psi",NA,2018-08-12 13:07:00,2018-08-12 13:11:00,00:04:15,0.0709512,NA,"psi",2018-08-12
"136","review",NA,2018-08-12 13:11:00,2018-08-12 13:16:00,00:04:54,0.0818934,NA,"psi",2018-08-12
"137","phi",NA,2018-08-12 13:16:00,2018-08-12 13:21:00,00:04:13,0.0705493,NA,"phi",2018-08-12
"138","phi",NA,2018-08-12 13:23:00,2018-08-12 13:37:00,00:13:15,0.2209164,NA,"phi",2018-08-12
"139","phi",NA,2018-08-12 13:41:00,2018-08-12 13:50:00,00:08:51,0.1475457,NA,"phi",2018-08-12
"140","phi",NA,2018-08-12 13:59:00,2018-08-12 14:19:00,00:20:14,0.337234,NA,"phi",2018-08-12
"141","review",NA,2018-08-13 03:13:00,2018-08-13 03:24:00,00:10:51,0.1809685,NA,"psi",2018-08-13
"142","review",NA,2018-08-13 03:30:00,2018-08-13 03:31:00,00:01:26,0.0239294,NA,"psi",2018-08-13
"143","psi",NA,2018-08-13 04:05:00,2018-08-13 04:21:00,00:16:18,0.2718749,NA,"psi",2018-08-13
"144","psi",NA,2018-08-13 04:44:00,2018-08-13 04:46:00,00:02:10,0.0361167,NA,"psi",2018-08-13
"145","phi",NA,2018-08-13 04:55:00,2018-08-13 05:00:00,00:05:22,0.0897019,NA,"phi",2018-08-13
"146","theta",NA,2018-08-13 05:10:00,2018-08-13 05:29:00,00:18:35,0.3097966,NA,"theta",2018-08-13
"147","theta",NA,2018-08-13 05:29:00,2018-08-13 05:32:00,00:02:40,0.0444684,NA,"theta",2018-08-13
"148","phi",NA,2018-08-13 05:32:00,2018-08-13 05:52:00,00:19:34,0.3262149,NA,"phi",2018-08-13
"149","psi",NA,2018-08-13 12:31:00,2018-08-13 12:48:00,00:16:47,0.2797788,NA,"psi",2018-08-13
"150","review",NA,2018-08-13 12:48:00,2018-08-13 12:51:00,00:03:14,0.0539061,NA,"psi",2018-08-13
"151","phi",NA,2018-08-13 13:03:00,2018-08-13 14:08:00,01:05:00,1.0834874,NA,"phi",2018-08-13
"152","review",NA,2018-08-13 14:25:00,2018-08-13 14:30:00,00:04:41,0.0780916,NA,"psi",2018-08-13
"153","theta",NA,2018-08-13 15:06:00,2018-08-13 15:26:00,00:20:04,0.3345974,NA,"theta",2018-08-13
"154","review",NA,2018-08-14 11:08:00,2018-08-14 11:14:00,00:06:20,0.1057397,NA,"psi",2018-08-14
"155","review",NA,2018-08-14 11:27:00,2018-08-14 11:29:00,00:02:57,0.0494127,NA,"psi",2018-08-14
"156","review",NA,2018-08-14 11:37:00,2018-08-14 11:40:00,00:03:09,0.0525474,NA,"psi",2018-08-14
"157","Blog  crafts",NA,2018-08-14 11:40:00,2018-08-14 11:45:00,00:04:29,0.0749656,NA,"wellness",2018-08-14
"158","Blog  crafts",NA,2018-08-14 11:45:00,2018-08-14 12:15:00,00:29:39,0.4943118,NA,"wellness",2018-08-14
"159","phi",NA,2018-08-14 13:16:00,2018-08-14 13:30:00,00:13:54,0.2318166,NA,"phi",2018-08-14
"160","theta",NA,2018-08-14 13:44:00,2018-08-14 13:50:00,00:06:23,0.1064246,NA,"theta",2018-08-14
"161","review",NA,2018-08-14 14:04:00,2018-08-14 14:05:00,00:01:13,0.0205497,NA,"psi",2018-08-14
"162","theta",NA,2018-08-14 14:05:00,2018-08-14 14:10:00,00:04:35,0.0763981,NA,"theta",2018-08-14
"163","review",NA,2018-08-14 14:14:00,2018-08-14 14:23:00,00:08:32,0.142495,NA,"psi",2018-08-14
"164","phi",NA,2018-08-14 14:23:00,2018-08-14 14:52:00,00:29:23,0.4899175,NA,"phi",2018-08-14
"165","review",NA,2018-08-14 15:50:00,2018-08-14 15:52:00,00:01:40,0.0279394,NA,"psi",2018-08-14
"166","phi",NA,2018-08-14 15:52:00,2018-08-14 16:10:00,00:18:52,0.3146602,NA,"phi",2018-08-14
"167","review",NA,2018-08-15 08:30:00,2018-08-15 08:34:00,00:03:55,0.0654013,NA,"psi",2018-08-15
"168","psi",NA,2018-08-15 08:35:00,2018-08-15 08:58:00,00:23:23,0.3898945,NA,"psi",2018-08-15
"169","review",NA,2018-08-15 08:58:00,2018-08-15 08:59:00,00:01:19,0.0219476,NA,"psi",2018-08-15
"170","phi",NA,2018-08-15 08:59:00,2018-08-15 09:02:00,00:02:36,0.0435541,NA,"phi",2018-08-15
"171","theta",NA,2018-08-15 09:04:00,2018-08-15 09:06:00,00:02:03,0.034398,NA,"theta",2018-08-15
"172","psi",NA,2018-08-15 09:08:00,2018-08-15 09:31:00,00:23:26,0.390816,NA,"psi",2018-08-15
"173","phi",NA,2018-08-15 09:31:00,2018-08-15 09:49:00,00:17:19,0.2886125,NA,"phi",2018-08-15
"174","phi",NA,2018-08-15 10:11:00,2018-08-15 10:34:00,00:23:05,0.384987,NA,"phi",2018-08-15
"175","review",NA,2018-08-15 10:34:00,2018-08-15 10:36:00,00:02:34,0.0428461,NA,"psi",2018-08-15
"176","phi",NA,2018-08-15 10:36:00,2018-08-15 10:38:00,00:01:06,0.0183782,NA,"phi",2018-08-15
"177","theta",NA,2018-08-15 11:09:00,2018-08-15 11:13:00,00:04:09,0.0692566,NA,"theta",2018-08-15
"178","psi",NA,2018-08-15 11:31:00,2018-08-15 11:53:00,00:22:10,0.3696706,NA,"psi",2018-08-15
"179","theta",NA,2018-08-15 11:53:00,2018-08-15 12:13:00,00:19:45,0.3293763,NA,"theta",2018-08-15
"180","phi",NA,2018-08-15 12:21:00,2018-08-15 12:40:00,00:19:24,0.32344,NA,"phi",2018-08-15
"181","theta",NA,2018-08-15 12:56:00,2018-08-15 13:01:00,00:05:23,0.0898663,NA,"theta",2018-08-15
"182","psi",NA,2018-08-15 13:01:00,2018-08-15 13:03:00,00:01:49,0.0303472,NA,"psi",2018-08-15
"183","theta",NA,2018-08-15 13:03:00,2018-08-15 13:06:00,00:03:40,0.06126,NA,"theta",2018-08-15
"184","theta",NA,2018-08-15 13:24:00,2018-08-15 13:56:00,00:32:14,0.5374833,NA,"theta",2018-08-15
"185","review",NA,2018-08-15 13:57:00,2018-08-15 14:01:00,00:04:00,0.0666824,NA,"psi",2018-08-15
"186","theta",NA,2018-08-15 14:19:00,2018-08-15 14:37:00,00:17:48,0.296927,NA,"theta",2018-08-15
"187","review",NA,2018-08-15 14:37:00,2018-08-15 14:39:00,00:02:23,0.0397291,NA,"psi",2018-08-15
"188","theta",NA,2018-08-15 14:39:00,2018-08-15 14:55:00,00:15:45,0.2627379,NA,"theta",2018-08-15
"189","review",NA,2018-08-15 14:57:00,2018-08-15 14:59:00,00:01:28,0.0246584,NA,"psi",2018-08-15
"190","phi",NA,2018-08-15 15:04:00,2018-08-15 15:21:00,00:17:09,0.2859442,NA,"phi",2018-08-15
"191","theta",NA,2018-08-15 15:21:00,2018-08-15 15:35:00,00:13:57,0.2327714,NA,"theta",2018-08-15
"192","review",NA,2018-08-15 15:36:00,2018-08-15 15:37:00,00:01:52,0.0311737,NA,"psi",2018-08-15
"193","community",NA,2018-08-15 15:52:00,2018-08-15 15:56:00,00:04:31,0.0753288,NA,"psi",2018-08-15
"194","review",NA,2018-08-16 07:50:00,2018-08-16 07:57:00,00:07:31,0.1254749,NA,"psi",2018-08-16
"195","review",NA,2018-08-16 09:33:00,2018-08-16 09:45:00,00:11:29,0.1916019,NA,"psi",2018-08-16
"196","psi",NA,2018-08-16 09:45:00,2018-08-16 09:50:00,00:05:21,0.089404,NA,"psi",2018-08-16
"197","psi",NA,2018-08-16 09:53:00,2018-08-16 10:18:00,00:25:27,0.424169,NA,"psi",2018-08-16
"198","psi",NA,2018-08-16 10:42:00,2018-08-16 10:56:00,00:13:48,0.2300783,NA,"psi",2018-08-16
"199","review",NA,2018-08-16 12:49:00,2018-08-16 12:50:00,00:01:47,0.0299633,NA,"psi",2018-08-16
"200","phi",NA,2018-08-16 12:50:00,2018-08-16 13:22:00,00:31:45,0.5292853,NA,"phi",2018-08-16
"201","theta",NA,2018-08-16 13:34:00,2018-08-16 13:35:00,00:01:42,0.0283995,NA,"theta",2018-08-16
"202","theta",NA,2018-08-16 13:47:00,2018-08-16 14:08:00,00:20:08,0.3356101,NA,"theta",2018-08-16
"203","phi",NA,2018-08-16 14:19:00,2018-08-16 14:38:00,00:18:39,0.3109052,NA,"phi",2018-08-16
"204","psi",NA,2018-08-16 14:38:00,2018-08-16 15:03:00,00:24:15,0.4042241,NA,"psi",2018-08-16
"205","review",NA,2018-08-16 15:03:00,2018-08-16 15:04:00,00:01:33,0.0258423,NA,"psi",2018-08-16
"206","phi",NA,2018-08-16 15:05:00,2018-08-16 16:12:00,01:07:20,1.1224628,NA,"phi",2018-08-16
"207","phi",NA,2018-08-16 16:12:00,2018-08-16 16:16:00,00:03:53,0.0647841,NA,"phi",2018-08-16
"208","review",NA,2018-08-16 16:16:00,2018-08-16 16:36:00,00:19:52,0.3313685,NA,"psi",2018-08-16
"209","review",NA,2018-08-16 16:36:00,2018-08-16 16:40:00,00:04:03,0.0677417,NA,"psi",2018-08-16
"210","theta",NA,2018-08-16 16:40:00,2018-08-16 16:52:00,00:11:36,0.1934582,NA,"theta",2018-08-16
"211","psi",NA,2018-08-16 16:59:00,2018-08-16 17:06:00,00:07:10,0.1196044,NA,"psi",2018-08-16
"212","psi",NA,2018-08-16 18:02:00,2018-08-16 18:22:00,00:20:11,0.3364147,NA,"psi",2018-08-16
"213","review",NA,2018-08-16 18:22:00,2018-08-16 18:26:00,00:03:35,0.0597372,NA,"psi",2018-08-16
"214","phi",NA,2018-08-16 18:26:00,2018-08-16 18:27:00,00:01:32,0.0255997,NA,"phi",2018-08-16
"215","review",NA,2018-08-16 22:06:00,2018-08-16 22:08:00,00:01:28,0.0245384,NA,"psi",2018-08-16
"216","psi",NA,2018-08-16 22:08:00,2018-08-16 22:16:00,00:07:40,0.1278406,NA,"psi",2018-08-16
"217","phi",NA,2018-08-16 22:16:00,2018-08-16 22:27:00,00:11:29,0.1915535,NA,"phi",2018-08-16
"218","phi",NA,2018-08-16 22:34:00,2018-08-16 22:36:00,00:02:18,0.0383615,NA,"phi",2018-08-16
"219","psi",NA,2018-08-16 22:36:00,2018-08-16 22:39:00,00:02:24,0.0400289,NA,"psi",2018-08-16
"220","phi",NA,2018-08-16 22:39:00,2018-08-16 22:46:00,00:07:22,0.1229486,NA,"phi",2018-08-16
"221","review",NA,2018-08-16 22:52:00,2018-08-16 22:56:00,00:04:02,0.0672695,NA,"psi",2018-08-16
"222","phi",NA,2018-08-16 22:56:00,2018-08-16 23:10:00,00:14:16,0.2377948,NA,"phi",2018-08-16
"223","phi",NA,2018-08-16 23:10:00,2018-08-16 23:20:00,00:09:10,0.152809,NA,"phi",2018-08-16
"224","review",NA,2018-08-16 23:20:00,2018-08-16 23:22:00,00:02:04,0.0344626,NA,"psi",2018-08-16
"225","review",NA,2018-08-17 07:38:00,2018-08-17 07:54:00,00:16:42,0.2785968,NA,"psi",2018-08-17
"226","phi",NA,2018-08-17 07:54:00,2018-08-17 07:59:00,00:04:54,0.0819206,NA,"phi",2018-08-17
"227","phi",NA,2018-08-17 08:15:00,2018-08-17 08:34:00,00:19:46,0.32961,NA,"phi",2018-08-17
"228","psi",NA,2018-08-17 08:47:00,2018-08-17 08:52:00,00:04:47,0.0797828,NA,"psi",2018-08-17
"229","phi",NA,2018-08-17 09:16:00,2018-08-17 09:31:00,00:15:10,0.2528755,NA,"phi",2018-08-17
"230","phi",NA,2018-08-17 10:03:00,2018-08-17 10:14:00,00:11:20,0.1891341,NA,"phi",2018-08-17
